filepath,song,artist,album
2008/01/01/1199167200100_23057.wav,Over You,Daughtry,Daughtry
2008/01/01/1199167200101_48496.wav,Hey There Delilah,Plain White T's,All That We Needed
2008/01/01/1199167200101_66206.wav,Hanging By a Moment,Lifehouse,No Name Face
2008/01/01/1199167200101_97923.wav,Amanda,Waylon Jennings,Ultimate Waylon Jennings
2008/01/01/1199167200102_59927.wav,Too Far Gone,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200103_27083.wav,Paradise City,Guns N' Roses,Appetite for Destruction
2008/01/01/1199167200103_35938.wav,Like a Stone,Audioslave,Audioslave
2008/01/01/1199167200103_56224.wav,Summer In the City,The Lovin' Spoonful,Hums of The Lovin' Spoonful
2008/01/01/1199167200103_87942.wav,Refugee,Tom Petty & The Heartbreakers,Damn the Torpedoes (Deluxe Version)
2008/01/01/1199167200104_32236.wav,Easy,Paula DeAnda,Paula DeAnda
2008/01/01/1199167200104_52522.wav,Love You So,Natalie,Everything New
2008/01/01/1199167200104_63953.wav,My Love,Justin Timberlake,My Love (Featuring T.I.) - Single
2008/01/01/1199167200104_72808.wav,High and Dry,Radiohead,The Bends
2008/01/01/1199167200104_84240.wav,Your Love,The Outfield,Super Hits
2008/01/01/1199167200105_55098.wav,Give You the World,The Dey,Give You the World - Single
2008/01/01/1199167200105_77961.wav,Square One,Coldplay,X & Y
2008/01/01/1199167200106_94545.wav,Crazy As a Loon,John Prine,Fair and Square
2008/01/01/1199167200107_15976.wav,Patience,Guns N' Roses,G N' R Lies
2008/01/01/1199167200107_59125.wav,If I Never See Your Face Again,Maroon 5,It Won't Be Soon Before Long
2008/01/01/1199167200107_85690.wav,Hey Sexy Lady,Shaggy,Lucky Day
2008/01/01/1199167200108_64277.wav,Rooster,Alice In Chains,Greatest Hits
2008/01/01/1199167200109_95995.wav,Savin' Me,Nickelback,All the Right Reasons
2008/01/01/1199167200110_11148.wav,Sea Legs,The Shins,Wincing the Night Away
2008/01/01/1199167200110_42865.wav,Strip Tease,Danity Kane,Welcome to the Dollhouse
2008/01/01/1199167200110_83438.wav,What Do They Know,Tanya Tucker,Can't Run from Yourself
2008/01/01/1199167200110_92293.wav,Daydream,The Lovin' Spoonful,Daydream
2008/01/01/1199167200111_10021.wav,Your Song,Elton John,Elton John
2008/01/01/1199167200111_36586.wav,Supernova,Liz Phair,Whip-Smart
2008/01/01/1199167200111_79735.wav,For the Good Times,Ray Price,The Essential Ray Price
2008/01/01/1199167200112_15174.wav,16 Days,Whiskeytown,Strangers Almanac
2008/01/01/1199167200112_21453.wav,Ride Natty Ride,Bob Marley,Survival
2008/01/01/1199167200112_26605.wav,Black Hole Sun,Soundgarden,Superunknown
2008/01/01/1199167200113_81185.wav,More Than Words,Extreme,Extreme II: Pornograffitti
2008/01/01/1199167200114_22903.wav,Forever,Papa Roach,The Paramour Sessions
2008/01/01/1199167200114_36911.wav,So Alive,Ryan Adams,Rock N Roll
2008/01/01/1199167200114_45765.wav,The Road Goes On Forever,Robert Earl Keen,The Party Never Ends
2008/01/01/1199167200115_50918.wav,Bleed It Out,Linkin Park,Minutes to Midnight
2008/01/01/1199167200115_91491.wav,On the Other Hand,Randy Travis,I Told You So - The Ultimate Hits of Randy Travis
2008/01/01/1199167200116_15498.wav,Run (I'm a Natural Disaster),Gnarls Barkley,The Odd Couple
2008/01/01/1199167200116_26929.wav,Here I Am (Come and Take Me),UB40,UB40: Greatest Hits
2008/01/01/1199167200116_56071.wav,You Really Got Me,Van Halen,Van Halen
2008/01/01/1199167200117_70078.wav,All Right Now,Free,Fire and Water
2008/01/01/1199167200117_72655.wav,It Wasn't Me,Shaggy,Hot Shot
2008/01/01/1199167200118_16948.wav,Constant Craving,k.d. lang,Ingénue
2008/01/01/1199167200118_54945.wav,Brand New Lover,Dead or Alive,Rip It Up
2008/01/01/1199167200119_51242.wav,Kryptonite,3 Doors Down,The Better Life
2008/01/01/1199167200120_13246.wav,She's Got You,Patsy Cline,Patsy Cline's Greatest Hits
2008/01/01/1199167200120_24677.wav,Rockin' the Suburbs,Ben Folds,Rockin' the Suburbs
2008/01/01/1199167200120_44963.wav,Bad Boys,Inner Circle,The Stars of Reggae Sunsplash
2008/01/01/1199167200120_53818.wav,Enemies,Ashes Divide,Keep Telling Myself It's Alright
2008/01/01/1199167200120_85536.wav,Purple Haze,The Jimi Hendrix Experience,Are You Experienced
2008/01/01/1199167200121_32406.wav,Bullet With Butterfly Wings,Smashing Pumpkins,Mellon Collie and the Infinite Sadness
2008/01/01/1199167200121_90689.wav,Brick,Ben Folds Five,Whatever and Ever Amen
2008/01/01/1199167200121_93265.wav,Paradise City,Guns N' Roses,Appetite for Destruction
